activity_id,activity_name,designation,fullName,name,parkCode,states,url
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Recreation Area,Chickasaw National Recreation Area,Chickasaw,chic,OK,https://www.nps.gov/chic/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Chiricahua National Monument,Chiricahua,chir,AZ,https://www.nps.gov/chir/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Channel Islands National Park,Channel Islands,chis,CA,https://www.nps.gov/chis/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historical Park,Chesapeake & Ohio Canal National Historical Park,Chesapeake & Ohio Canal,choh,"DC,MD,WV",https://www.nps.gov/choh/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historic Site,Charles Pinckney National Historic Site,Charles Pinckney,chpi,SC,https://www.nps.gov/chpi/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Reserve,City Of Rocks National Reserve,City Of Rocks,ciro,ID,https://www.nps.gov/ciro/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Colorado National Monument,Colorado,colm,CO,https://www.nps.gov/colm/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Congaree National Park,Congaree,cong,SC,https://www.nps.gov/cong/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Memorial,Coronado National Memorial,Coronado,coro,AZ,https://www.nps.gov/coro/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Crater Lake National Park,Crater Lake,crla,OR,https://www.nps.gov/crla/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument & Preserve,Craters Of The Moon National Monument & Preserve,Craters Of The Moon,crmo,ID,https://www.nps.gov/crmo/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historical Park,Cumberland Gap National Historical Park,Cumberland Gap,cuga,"KY,TN,VA",https://www.nps.gov/cuga/index.htm
